round_id,round_number,phase,provenance,panel,series,formulation_id,value,lower,upper,count_pass,count_fail,section,candidate_id,prediction,observed,uncertainty_std,absolute_error,nominal_coverage,empirical_coverage,interval_width,coverage_lower,coverage_upper,binary_outcome,signed_error,batch_id,viability_percent,intact_patch_formation_pass
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_000849,58.93019509730977,38.0,24.16077166458678,20.93019509730977,,,94.71022492518017,,,,20.93019509730977,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_000846,58.92437007701841,38.0,24.166804376952193,20.92437007701841,,,94.7338731576526,,,,20.92437007701841,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_001346,58.9187602099713,36.0,24.164943773185,22.918760209971303,,,94.72657959088521,,,,22.918760209971303,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_001770,58.91497503925672,38.5,24.168569469864593,20.414975039256717,,,94.74079232186921,,,,20.414975039256717,,,
ROUND_003,,,,viability_prediction,,,,,,,,trust,cand_001847,58.72481704977869,52.0,24.18797891866367,6.724817049778693,,,94.81687736116159,,,,6.724817049778693,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,rescue_000013,46.80008917114565,32.885,23.095514996704072,13.915089171145652,,,90.53441878707996,,,,13.915089171145652,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,rescue_000016,44.952131527292465,58.35000000000001,5.0664427436755295,13.397868472707543,,,19.860455555208077,,,,-13.397868472707543,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_000637,76.54205208741212,50.515,9.885163840791698,26.027052087412116,,,38.74984225590345,,,,26.027052087412116,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_000374,72.54485407581217,50.6025,15.37535482335997,21.94235407581217,,,60.27139090757108,,,,21.94235407581217,,,
ROUND_004,,,,viability_prediction,,,,,,,,trust,cand_000113,64.03442627824809,52.88250000000001,18.863137933937843,11.151926278248084,,,73.94350070103634,,,,11.151926278248084,,,
